,Eg
57247,0.8171144723892212
48800,0.6917343735694885
70663,4.195281982421875
18323,2.031445026397705
63021,1.9995441436767576
46736,2.836729049682617
82433,2.810784816741944
37012,1.7033493518829346
15084,2.3637924194335938
56206,1.0798940658569336
83458,2.9281492233276367
32723,5.150975227355957
70314,4.089208126068115
43146,4.615491390228272
88670,0.724515438079834
76552,0.5318198204040527
20144,1.43145489692688
6605,3.400259017944336
44930,2.755305528640747
98468,0.9500773549079896
10290,1.4377177953720093
2646,1.466564655303955
81632,3.883464813232422
70601,4.4802446365356445
34123,4.79312801361084
51648,0.7473454475402832
46912,3.935794115066528
101548,3.3896079063415527
96758,1.7349910736083984
98322,1.518337368965149
43568,2.3753018379211426
75015,0.6609148383140564
45656,0.6333714127540588
93988,4.621131896972656
38118,2.365910530090332
10492,2.246619701385498
81984,3.5554957389831543
37296,2.158607482910156
21419,2.102220058441162
3281,2.0054140090942383
21993,2.0785882472991943
81861,2.240053653717041
31364,2.407589197158813
53071,0.9742345809936525
106823,0.993303656578064
56765,0.5957266688346863
88673,1.359598159790039
37946,3.067697286605835
33622,2.569784641265869
11642,1.6538375616073608
62135,4.892685890197754
28863,4.489974021911621
60514,2.494033098220825
55017,1.302471160888672
34379,3.920506000518799
81925,4.938521385192871
94822,2.657512664794922
95183,1.508834958076477
26062,1.4693140983581543
76100,2.398595333099365
87208,1.509175419807434
39476,1.4602149724960327
50154,2.048543691635132
44290,1.0070821046829224
49393,1.0136584043502808
100081,1.649827003479004
728,3.6002309322357178
45839,1.2432937622070312
65506,1.40904438495636
105648,3.546273708343506
18265,0.6207292675971985
13822,4.545668601989746
21981,2.238853693008423
47598,1.7800074815750122
28650,4.750344276428223
59148,1.4288235902786257
43514,4.828469276428223
10916,3.069007873535156
787,3.009284019470215
81683,2.2974228858947754
106195,1.0758774280548096
22379,1.3000383377075195
2838,0.7340795397758484
55939,0.7363409399986267
85359,0.7479029297828674
37643,2.75174331665039
44971,0.9299315214157104
36396,1.5498558282852173
43390,4.659813404083252
10391,0.9952203631401062
74402,0.875064492225647
31038,0.5565213561058044
32750,5.08766508102417
34031,4.776252269744873
24883,1.0224264860153198
81087,1.2325339317321775
3212,1.1533937454223633
70728,4.346806526184082
34803,1.7996172904968262
62848,3.7666401863098153
41860,1.997990250587464
99042,1.64446759223938
87988,1.6839874982833862
3223,2.335397243499756
75306,0.6180822849273682
15813,2.7249135971069336
91626,1.2291264533996582
86837,3.11905574798584
21519,2.801745891571045
110947,4.289340972900391
70376,4.594285011291504
74881,1.4067519903182983
109565,1.5544476509094238
75509,4.15672492980957
107146,1.7482918500900269
69924,2.954179048538208
47805,4.335492134094238
18164,3.8697125911712646
95255,0.8441948294639587
33116,4.98237419128418
69812,4.693991661071777
2558,4.6652936935424805
25022,1.136817455291748
55554,3.710615873336792
12584,2.162370681762696
56623,0.5199322700500488
28476,3.3850555419921875
51063,1.0184881687164309
22715,0.7913848757743835
64521,1.0860402584075928
34664,3.6766436100006095
63094,1.902116537094116
81994,0.5014845132827759
12081,0.9612045884132384
79596,5.149069786071777
75226,1.320464253425598
3378,2.402648687362671
77581,1.4318695068359375
99159,1.3388047218322754
38868,4.198585510253906
27529,1.4097365140914917
87268,1.417848825454712
34097,4.793858528137207
64593,2.924724102020264
15647,4.020720481872559
28854,3.499160051345825
110720,2.0339717864990234
21625,0.6981518268585205
6629,4.510390281677246
103749,3.7597172260284415
85447,1.5095096826553345
9246,4.066300868988037
12143,1.4898560047149658
109660,0.834908664226532
8464,1.2514796257019043
8505,1.9427945613861084
15840,0.7876741290092468
15760,3.623119115829468
32387,4.295483589172363
24618,2.18191909790039
82095,2.993124961853028
39055,4.067217826843262
24094,1.7392663955688477
87203,1.8893730640411377
32045,1.894506931304932
28227,1.751248121261597
9945,0.7998865246772766
97580,1.1395299434661863
62707,3.682720899581909
95746,2.543468952178955
100173,1.6671109199523926
74042,1.4653531312942505
45543,0.9008830785751344
19823,1.4486322402954102
91246,2.2526345252990723
88560,0.7348883748054504
49350,3.9365196228027344
2939,1.6619491577148438
97765,2.3340203762054443
81960,4.671769618988037
108393,2.147796154022217
60267,1.8966279029846191
11204,1.0257720947265625
72592,2.2439987659454346
65160,0.975952446460724
66378,1.436418890953064
12065,0.5654540657997131
58508,0.8502484560012817
107170,0.9991279244422911
35787,4.24909782409668
44917,3.559358835220337
49345,3.646030902862549
33958,4.98566484451294
39115,2.468766689300537
36822,1.5716294050216677
49478,2.6005263328552246
47279,1.165764570236206
6204,5.230180263519287
56224,0.6486223340034485
69935,4.6572699546813965
21458,2.7699761390686035
87008,1.9128165245056152
72530,0.8859439492225647
24013,1.7662010192871094
48890,1.4603534936904907
45420,1.1608071327209473
37005,3.240189790725708
27759,2.934700965881348
28089,3.049469470977783
28033,3.573309898376465
34866,3.933222532272339
6596,5.257105827331543
26766,2.8384666442871094
81422,1.9749503135681152
107849,1.3865253925323486
6181,1.786549687385559
75769,2.571118831634521
20175,2.996908664703369
9417,1.1283906698226929
45397,2.151387929916382
103281,1.6374926567077637
80953,0.7646329998970032
110596,2.342249155044556
26057,0.9467369318008424
47715,0.935382068157196
46876,1.344859004020691
58274,2.0054283142089844
26863,2.9949326515197754
110451,2.8154754638671875
91401,3.2797865867614746
14476,1.240445613861084
13719,5.002431869506836
62057,4.2648210525512695
47174,1.0331697463989258
21691,1.6631370782852173
2619,3.7757296562194815
10163,1.830225706100464
63282,1.7792601585388184
10204,0.8011333346366882
59182,1.5890270471572876
21587,0.858269453048706
43302,0.9604029059410096
82047,4.308449745178223
10280,2.3135783672332764
604,0.7868609428405762
70078,2.110770463943481
81,1.7629138231277466
51789,0.6584790945053101
84530,4.657236099243164
36306,1.9851558208465576
81846,5.293686389923096
9241,5.900586128234863
110520,1.85145902633667
32538,0.7933019399642944
4281,0.7741745710372925
38861,2.3762640953063965
10319,1.3090826272964478
49516,4.143116474151611
93208,1.4181474447250366
32710,5.294926643371582
33617,4.723028182983398
108272,0.9562646746635436
91587,0.9174371957778932
97586,4.046867370605469
40606,1.3884642124176023
91154,2.609082698822021
95559,4.155778408050537
34033,1.997536420822144
46418,0.8375943303108215
106498,1.6983400583267212
22196,5.142496109008789
75908,2.7030491828918457
99782,2.364283800125122
80407,2.33284330368042
26903,3.088217735290528
24327,1.0841264724731443
68863,2.1547341346740723
93724,5.0091166496276855
69271,0.7534340620040894
38108,5.194164276123047
62745,5.496336936950684
43182,2.2964859008789062
74327,1.705632567405701
11156,1.3320350646972656
101644,1.400990009307861
44556,1.3088055849075315
76040,2.3409342765808105
46615,2.520432472229004
99788,2.891263961791992
70420,3.888524055480957
10415,1.72492778301239
28182,0.7699245810508728
1061,0.5691021084785461
3268,2.242948770523072
25621,1.679779291152954
82137,3.14509391784668
110670,1.473133206367493
31621,0.9591966271400452
97309,1.1238808631896973
97449,2.522963762283325
84537,5.151619911193848
55087,3.308492660522461
11167,0.8689995408058167
44484,0.6233543753623962
6653,6.0655622482299805
87666,3.694823980331421
55245,1.9412777423858645
23700,0.899648129940033
75742,3.0784711837768555
110360,2.956029891967773
100318,1.8393759727478027
83012,2.203469753265381
32675,4.991222381591797
40297,2.2373239994049072
17784,4.357838153839111
108737,2.1081345081329346
77491,1.248995661735535
97554,3.684899091720581
46288,0.7697704434394836
11148,1.3978394269943235
84588,3.232182502746582
82582,4.311372756958008
32477,3.955346822738648
82896,2.9772331714630127
38860,4.257051944732666
94460,2.442646026611328
87310,2.018427848815918
52814,2.2741856575012207
11511,2.5092897415161133
48984,2.4852797985076904
30974,3.068148612976074
28164,1.8669514656066888
95812,4.379297256469727
1974,4.133177757263184
48174,1.5616127252578735
49441,3.036728382110596
9322,2.236226320266724
20543,2.191307783126831
8508,0.7086915373802185
76055,2.406079769134521
10628,1.3996641635894775
95560,4.396619319915772
47948,2.346497297286988
62122,4.024566650390625
53648,1.6161949634552002
81547,3.7639567852020255
70645,1.5808676481246948
46981,1.608364820480347
70062,4.229066848754883
47144,1.7268654108047483
4125,1.375234603881836
98580,3.4694480895996094
30937,2.5182666778564453
20060,1.3676304817199707
49164,0.7014952301979065
38908,3.929500341415405
5253,0.8234875202178955
13520,1.317541241645813
95833,4.3294677734375
4259,0.7894290685653687
64339,1.4496968984603882
5083,4.882377624511719
81651,3.884329319000244
38839,2.80019211769104
108575,1.651293158531189
74121,1.7467938661575315
3051,2.730464696884156
27804,1.3495863676071167
69579,1.94876229763031
59169,0.8730306029319763
31691,2.6573617458343506
103613,0.7684303522109985
30574,0.6109523773193359
